Координати,Вид кофа,Брой,Състояние,
42.7105427789917,23.3560580644199,1100,1,,
42.7109141905948,23.3769301863481,1100,1,,
42.7107785572193,23.3707850603839,1100,1,ДОБРО,
42.709883830236,23.3598013720462,1100,1,ДОБРО,
42.7110626323177,23.3704980021254,1100,1,,
42.7111599561916,23.3855159687319,1100,1,,
42.7097759211188,23.3553827647488,1100,2,,
42.7102128669667,23.3813739437385,1100,1,,
42.7081354674463,23.3688166804658,1100,1,ДОБРО,
42.7103586532978,23.358657672247,1100,2,,
42.7098291006494,23.3607073281469,1100,1,ДОБРО,
42.7102472203396,23.3591994784628,1100,2,,
42.7107361808218,23.3600118518402,1100,2,ДОБРО,
42.7047023155767,23.3703977068592,1100,4,,
42.7047468966438,23.3684696844317,1100,3,,
42.7044149994318,23.368676624692,1100,2,,
42.7039075040326,23.3689830335881,1100,3,,
42.7042142701927,23.3668764353766,1100,3,,
42.7060327867403,23.3792933859557,1100,1,,
42.7037582223313,23.3653869842771,1100,2,,
42.7041607217047,23.3594090380846,1100,1,,
42.7052352103001,23.364786125678,1100,3,,
42.7080731267816,23.3986632755154,1100,1,,
42.707302030218,23.3658575656828,1100,1,,
42.7073981732846,23.3768871061414,1100,1,,
42.7071363666486,23.3696879372767,1100,2,,
42.70705742453,23.3717875976964,1100,2,,
42.7071082970006,23.3721619078716,1100,1,,
42.7037739767932,23.375295648656,1100,1,ДОБРО,
42.7094582209505,23.3635013594637,1100,2,,
42.706118596805,23.3989514855211,1100,1,,
42.7078614889842,23.3670805125437,1100,3,,
42.7078144871326,23.369289136582,1100,2,,
42.6984327868265,23.3789533860098,1100,3,,
42.7065720048254,23.3700257206513,1100,1,,
42.6975679768374,23.3792530960085,1100,2,,
42.7063312545457,23.3701914635209,1100,2,,
42.7075717867867,23.3984658755228,1100,1,,
42.7058859246559,23.3658385413167,1100,1,,
42.7071118478279,23.378323170891,1100,1,,
42.7076166789259,23.3834037487492,1100,2,,
42.7074764571815,23.3797754891655,1100,1,,
